1207218466442403840,,672000,672000
1207221176646471680,OK,1318000,1318000
1207221300986548224,OK,1347000,1347000
1207221684442415104,OK,1439000,1439000
1207221780332634112,REF,1462000,1462000
1207222271456268289,REF,1579000,1579000
1207222645013565440,,1668000,1668000
1207224275356311552,KO,2057000,2057000
1207224553132429312,REF,2123000,2123000
1207224894745907201,REF,2204000,2204000
1207225457588002816,REF,2338000,2338000
1207225902960132096,KO,2445000,2445000
1207226641006637056,KO,2621000,2621000
1207227588386668544,KO,2846000,2846000
1207227731496321024,KO,2881000,2881000
1207228992924930048,KO;REF,3181000,3181000
1207229020498276353,REF,3188000,3188000
1207229154300715008,KO,3220000,3220000
1207229201771827200,KO,3231000,3231000
1207229761703075840,REF,3365000,3365000
1207230029123538944,REF,3428000,3428000
1207230785272582144,OK,3609000,3609000
1207232965446656001,,4128000,4128000
1207233235115237376,,4193000,4193000
1207233799660150784,,4327000,4327000
1207233852428750850,,4340000,4340000
1207236443166453760,REF,4958000,4958000
1207236819844239361,,5047000,5047000
1207237484540809216,OK,5206000,5206000
1207237531689005056,Q,5217000,5217000
1207238510882758656,REF,5451000,5451000
1207238954539462656,REF,5556000,5556000
1207242653584244736,KO,6438000,6438000
1207242659645067264,OK,6440000,6440000
1207242829652729856,,6480000,6480000
1207243048947781632,,6533000,6533000
1207243186223091712,REF,6565000,6565000
1207243602038050816,KO;Q,6664000,6664000
1207244247138746368,REF,6818000,6818000
1207246645873848320,OK,7390000,7390000
1207250046502264832,,8201000,8201000
1207251886212034565,,8639000,8639000
1207253193463390208,,8951000,8951000
1207253483721809920,OK,9020000,9020000
1207253754942279680,OK,9085000,9085000
1207254272561360898,OK,9208000,9208000
1207254637033771008,OK,9295000,9295000
1207254679643660288,,9305000,9305000
1207254965359656960,,9374000,9374000
1207256410251284481,KO;Q,9718000,9718000
1207257417601433601,,9958000,9958000
1207260942897229824,OK,10799000,10799000
1207261372201013248,OK,10901000,10901000
1207261833947734016,REF,11011000,11011000
1207262712767664128,KO,11221000,11221000
1206928651222212610,REF,767000,767000
1206929251125137410,REF,910000,910000
1206930690350239750,,1253000,1253000
1206930973360832517,,1321000,1321000
1206932478965010432,OK,1680000,1680000
1206933293054283777,REF,1874000,1874000
1206936352627056641,,2603000,2603000
1206942071837380608,REF,3967000,3967000
1206942422787395587,OK,4051000,4051000
1206942883867168768,KO,4161000,4161000
1206942988678713352,,4186000,4186000
1206944902304677888,KO,4642000,4642000
1206946049388163073,OK,4915000,4915000
1206948924210188288,,5601000,5601000
1206950633527488512,OK,6008000,6008000
1206952848266866691,,6536000,6536000
1206957399384477697,,7621000,7621000
1206957539310604288,OK,7655000,7655000
1206961293367881729,,8550000,8550000
1206961586453303305,REF,8620000,8620000
1206962459770261505,,8828000,8828000
1206963170188955648,REF,8997000,8997000
1206963611895238659,,9103000,9103000
1206963761057325058,,9138000,9138000
1206964845205245952,,9397000,9397000
1206966808156221441,REF,9865000,9865000
1206967001119444992,REF,9911000,9911000
1206968224589455361,REF,10202000,10202000
1206969965569593344,OK,10617000,10617000
1206970901410877440,REF,10840000,10840000
1206971127668658176,,10894000,10894000
1206971765282529280,KO,11046000,11046000
1206972057566826496,Q,11116000,11116000
1206973174392479745,,11382000,11382000
1206973764447166464,,11523000,11523000
1206975913713393669,Q,12036000,12036000
1206977919786065921,,12514000,12514000
1206984656119386112,,266000,266000
1206984913855111168,,327000,327000
1206986251326369793,REF,646000,646000
